ID,lang,Date,Source,len,Orig_Tweet,Tweet,Likes,RTs,Hashtags,UserMentionNames,UserMentionID,Name,Place,Followers,Friends
1013597036178956288,en,2018-07-02 01:35:39,Twitter for Android,86,"RT @EllaPangilinanx: Idek what to do anymore. 
Spain and Portugal both out ? #WorldCup",Idek what to do anymore Spain and Portugal both out,0,1,WorldCup,Ella Laxa-Pangilinan,EllaPangilinanx,Alice,"Bulacan, Central Luzon",34,315
1013597036090818560,en,2018-07-02 01:35:39,Twitter for Android,135,RT @SiClancy: I know it’s been an amazing World Cup but this is a bit too much excitement from Nacho. #worldcup https://t.co/PUCzb7nLP1,know it been an amazing World Cup but this is bit too much excitement from Nacho,0,3817,worldcup,Simon Clancy,SiClancy,Goku,Barcelona,105,51
1013597035679739904,en,2018-07-02 01:35:39,Twitter for iPhone,139,RT @valpan026: @eunicehuili @RachelWeng3 @FIFAWorldCup @weareoneEXO #POWER by our happy virus #EXO will be a perfect choice. Happy always~…,by our happy virus will be perfect choice Happy always,0,107,"POWER,EXO","Shiqi,Eunice,Rachel Weng,FIFA World Cup ?,EXO","valpan026,eunicehuili,RachelWeng3,FIFAWorldCup,weareoneEXO",ELyXiOn,,12,88
1013597035629555712,en,2018-07-02 01:35:39,Twitter for iPad,166,Get the best in sports news and information by going to https://t.co/FMD00iDrGp new shows coming soon! #sportstalk #sportstalkradio #NBA #NHL #MLB #NFL #PGA #WORLDCUP,Get the best in sports news and information by going to new shows coming soon,0,0,"sportstalk,sportstalkradio,NBA,NHL,MLB,NFL,PGA,WORLDCUP",,,JSA,,1978,4288
1013597035407298560,en,2018-07-02 01:35:39,Twitter for iPad,140,RT @IanStaffs: Just worked out that if England can get past Colombia (probable) then either Sweden or Switzerland in the quarters (very doa…,Just worked out that if England can get past Colombia probable then either Sweden or Switzerland in the quarters very doa,0,7,,Ian Stafford,IanStaffs,SKS Media India,"Mumbai, India",2147,2403
1013597030546051072,en,2018-07-02 01:35:38,Twitter for iPhone,139,"RT @CCFCFan1927: People getting rightly excited over Mbappe after his performance at 19.
Let's not forget though, the man they were hating…",People getting rightly excited over Mbappe after his performance at Lets not forget though the man they were hating,0,6889,,CCFCFan,CCFCFan1927,??,The netherlands ,2167,956
1013597029623189504,en,2018-07-02 01:35:38,Twitter for Android,88,RT @dw_sports: 2 PENALTY SHOOTOUTS IN ONE DAY! #CRODEN #WorldCup https://t.co/Y2O33Ukv4B,PENALTY SHOOTOUTS IN ONE DAY,0,17,"CRODEN,WorldCup",DW Sports,dw_sports,miikii,Thailand,187,188
1013597029434474497,en,2018-07-02 01:35:38,Twitter Web Client,140,"RT @Onyema_Donald: ?? Edinson Cavani for Napoli:

? Games: 138 
?? Goals: 104

?? Edinson Cavani for PSG:

? Games: 245
?? Goals: 170

?? E…",Edinson Cavani for Napoli Games Goals Edinson Cavani for PSG Games Goals,0,70,,Your Village People,Onyema_Donald,mattorazi,,85,137
1013597025974169600,en,2018-07-02 01:35:37,Twitter for Android,140,"RT @FIFAWorldCup: ?? | ""Japan have never made it past the last eight, so we want to get there"" ?
?? Can @jfa_samuraiblue reach the #WorldCu…",Japan have never made it past the last eight so we want to get there Can reach the,0,219,,"FIFA World Cup ?,????????","FIFAWorldCup,jfa_samuraiblue",Michelle??#StanBAP,"Orange County, CA",109,297
1013597022992195585,en,2018-07-02 01:35:36,Twitter for iPad,120,"RT @IanStaffs: Wonder what the odds were on Messi, Ronaldo and Modric all missing penalties at this world cup? #WorldCup",Wonder what the odds were on Messi Ronaldo and Modric all missing penalties at this world cup,0,4,WorldCup,Ian Stafford,IanStaffs,SKS Media India,"Mumbai, India",2147,2403
1013597015375339520,en,2018-07-02 01:35:34,Twitter for iPhone,125,RT @LeJuan__James: Lebron news is cool and all pero let’s gets back to what’s  important..... Let’s GO MEXICO! ???? #WorldCup,Lebron news is cool and all pero let gets back to what important Let GO MEXICO,0,3,WorldCup,LeJuan James,LeJuan__James,DD Benitez,The Ohio State University,171,403
1013597014481760256,en,2018-07-02 01:35:34,Twitter for iPhone,140,RT @eunicehuili: @RachelWeng3 @FIFAWorldCup @weareoneEXO Highly anticipating #POWER by #EXO to be played at the stadium.  @weareoneEXO @FIF…,Highly anticipating by to be played at the stadium,0,105,"POWER,EXO","Eunice,Rachel Weng,FIFA World Cup ?,EXO,EXO","eunicehuili,RachelWeng3,FIFAWorldCup,weareoneEXO,weareoneEXO",ELyXiOn,,12,88
1013597012657344512,en,2018-07-02 01:35:34,Twitter for iPhone,318,"How Do You Control the Ball 74% &amp; Lose?
How Do You Pass the Ball More Than 1100 Times &amp; Lose?
How Do You Take 25 Shots &amp; Only Let Up 6 &amp; Lose?
Well #Spain Did All That &amp; Lost Today to #Russia!
Congrats #Comrades on a Great Win Today!
#Soccer #WorldCup #WorldCup2018 
#Futbol https://t.co/qIDvfSwtcF",How Do You Control the Ball Lose How Do You Pass the Ball More Than Times Lose How Do You Take Shots Only Let Up Lose Well Did All That Lost Today to Congrats on Great Win Today,0,0,"Spain,Russia,Comrades,Soccer,WorldCup,WorldCup2018,Futbol",,,Fire and Brimmstone,"Toledo, OH",112,372
1013597011042451457,en,2018-07-02 01:35:33,Twitter Web Client,140,"RT @9GAGFootball: ?? Kasper Schmeichel vs Croatia:

? Saves penalty in Extra Time

? Saves 2 penalties in shootout.

? Still knocked out of…",Kasper Schmeichel vs Croatia Saves penalty in Extra Time Saves penalties in shootout Still knocked out of,0,15,,9GAG Football ?,9GAGFootball,Jay,"Toronto, Ontario",4,65
1013597010887356417,en,2018-07-02 01:35:33,Twitter for Android,139,"RT @Mariana_SRKajol: #LayLeague
#PowerByEXO
#WorldCup
#FIFAStadiumDJ
@FIFAWorldCup
@weareoneEXO
It was really difficult for fandom, but we…",It was really difficult for fandom but we,0,4,"LayLeague,PowerByEXO,WorldCup,FIFAStadiumDJ","Danelly KxS SxL?,FIFA World Cup ?,EXO","Mariana_SRKajol,FIFAWorldCup,weareoneEXO",?? ?? ??,,474,1709
1013597009159311362,en,2018-07-02 01:35:33,Twitter for Android,140,"RT @AfricaFactsZone: Mikel John Obi is the only player to have represented Nigeria in the FIFA U-17 World Cup, FIFA U-20 World Cup (won Sil…",Mikel John Obi is the only player to have represented Nigeria in the FIFA World Cup FIFA World Cup won Sil,0,949,,Africa Facts Zone,AfricaFactsZone,Elvis Good,"Anambra, Nigeria",142,336
1013597006311198720,en,2018-07-02 01:35:32,Twitter for iPhone,289,"???PoliticalRumble???
LIVE?LOUD?&amp; LITUP??
ON #Periscope 

WE ARE GOIN LIVE GET OVER HERE! 

UNFILTERED?UNCENSORED?
?? #FreeSpeech?
#RealNews NO #MSM BULLSH*T

#CloserNation  #WorldCup  #1A #SundayFunday
FACTS WITHOUT SPIN??
#Periscope? ? #GoLive 
#Croatia #MAGA https://t.co/iFb03yB2Ej",PoliticalRumble LIVE LOUD LITUP ON WE ARE GOIN LIVE GET OVER HERE UNFILTERED UNCENSORED NO BULLSH FACTS WITHOUT SPIN,0,0,"Periscope,FreeSpeech,RealNews,MSM,CloserNation,WorldCup,1A,SundayFunday,Periscope,GoLive,Croatia,MAGA",,,DEPLORABLE?Raymoz50,Look out your window....,2761,4357
1013597005967437825,en,2018-07-02 01:35:32,Twitter Lite,98,RT @onxmyown: Poweeeer @FIFAWorldCup @weareoneEXO #PowerByEXO #WorldCup #FIFAStadiumDJ #ChenLeague,Poweeeer,0,4,"PowerByEXO,WorldCup,FIFAStadiumDJ,ChenLeague","Paola,FIFA World Cup ?,EXO","onxmyown,FIFAWorldCup,weareoneEXO",Andrea?,en tu corazón :v,152,251
1013597004231008257,en,2018-07-02 01:35:32,Twitter for iPhone,129,"RT @marinamaral2: Soccer team of British WWI soldiers wearing gas masks, France, 1916. #WorldCup #history https://t.co/ES3MWS0bnp",Soccer team of British WWI soldiers wearing gas masks France,0,373,"WorldCup,history",Marina Amaral,marinamaral2,telha de amianto supreme,www.behance.net/925png,333,439
1013596999952695297,en,2018-07-02 01:35:31,Twitter for Android,140,"RT @FIFAWorldCup: ?? | ""Japan have never made it past the last eight, so we want to get there"" ?
?? Can @jfa_samuraiblue reach the #WorldCu…",Japan have never made it past the last eight so we want to get there Can reach the,0,219,,"FIFA World Cup ?,????????","FIFAWorldCup,jfa_samuraiblue",?Takumi MJ(?) LOVE?,???(?????),424,544
1013596996794343424,en,2018-07-02 01:35:30,Twitter for Android,140,RT @UtdIndonesia: It’s not the day David De Gea want to remember as ?? lost to ?? on penalty kick. You still the best @d_degeaofficial #muf…,It not the day David De Gea want to remember as lost to on penalty kick You still the best,0,5,,"United Indonesia,David De Gea","UtdIndonesia,d_degeaofficial",Yahya Hidayat,"Varia Agung, Lampung",350,323
1013596995305472000,en,2018-07-02 01:35:30,Twitter for Android,140,RT @EmbassyofRussia: #Russia proceeds to the 1/4 finals as it wins against #Spain in 2018 #WorldCup 1st knockout stage (1/8 finals). Hard-e…,proceeds to the finals as it wins against in st knockout stage finals Hard,0,165,"Russia,Spain,WorldCup",Russia in RSA ??,EmbassyofRussia,????,"???????, ??????",343,666
1013596987659378691,en,2018-07-02 01:35:28,Twitter for Android,140,"RT @SkyFootball: ""There's nothing to be scared of.""

Colombia are poor and @England have clear a path to #WorldCup semi-finals, says @PaulM…",Theres nothing to be scared of Colombia are poor and have clear path to semi finals says,0,85,WorldCup,"Sky Sports World Cup,England","SkyFootball,England",Gato Mundialista ??,"Bogotá, D.C., Colombia",58130,32369
1013596986614820865,en,2018-07-02 01:35:27,Twitter for Android,135,RT @_anujsinghal: The best world cup ever continues to amaze. Just thrilled. That's why nothing comes close to sports :) #RUS #WorldCup,The best world cup ever continues to amaze Just thrilled Thats why nothing comes close to sports,0,8,"RUS,WorldCup",Anuj Singhal,_anujsinghal,Ram,,4,110
1013596985218256896,en,2018-07-02 01:35:27,Twitter for Android,117,"When you tryna film but someone tells you that Spain got knocked out the World Cup:
#WorldCup https://t.co/yY4rlV3VGt",When you tryna film but someone tells you that Spain got knocked out the World Cup,1,0,WorldCup,,,Sadia? ???????+???? once and forever?,Somewhere in the EUNiverse??,195,513
1013596984589111296,en,2018-07-02 01:35:27,Twitter for iPhone,138,"RT @Footy_JokesOG: ?? Kasper Schmeichel:

Saves penalty in Extra Time

Saves 2 penalties in shootout.

Still knocked out of the #WorldCup…",Kasper Schmeichel Saves penalty in Extra Time Saves penalties in shootout Still knocked out of the,0,762,WorldCup,Footy Jokes,Footy_JokesOG,Facundo Zabala,Montevideo,440,1281
1013596981619458048,en,2018-07-02 01:35:26,Twitter Lite,110,"RT @onxmyown: I SAY E X, YOU SAY O @FIFAWorldCup @weareoneEXO #PowerByEXO #WorldCup #FIFAStadiumDJ #ChenLeague",SAY X YOU SAY,0,4,"PowerByEXO,WorldCup,FIFAStadiumDJ,ChenLeague","Paola,FIFA World Cup ?,EXO","onxmyown,FIFAWorldCup,weareoneEXO",Andrea?,en tu corazón :v,152,251
1013596980562579456,en,2018-07-02 01:35:26,Twitter Web Client,148,"RT @footballtips: @fishtrenado

?? CROATIA PRICE BOOST ?? 

Register with Coral via the link below &amp; get 40/1 on Modric &amp; co. to go through…",CROATIA PRICE BOOST Register with Coral via the link below get on Modric co to go through,0,2,,"Football Tips,fernando corona Fish","footballtips,fishtrenado",albert camer,,1,81
1013596980159926272,en,2018-07-02 01:35:26,Twitter for iPad,166,Get the best in sports news and information by going to https://t.co/GbHlCN6G0n new shows coming soon! #sportstalk #sportstalkradio #NBA #NHL #MLB #NFL #PGA #WORLDCUP,Get the best in sports news and information by going to new shows coming soon,0,0,"sportstalk,sportstalkradio,NBA,NHL,MLB,NFL,PGA,WORLDCUP",,,Michael Bari,,1507,1158
1013596975990824960,en,2018-07-02 01:35:25,Twitter Lite,137,"RT @GabylCl9: @FIFAWorldCup @weareoneEXO #PowerByEXO #WorldCup #FIFAStadiumDJ
#ChenLeague
We got a power, power!? https://t.co/9G0fTe1JlE",We got power power,0,5,"PowerByEXO,WorldCup,FIFAStadiumDJ,ChenLeague","Gabriela Lizeth Cano,FIFA World Cup ?,EXO","GabylCl9,FIFAWorldCup,weareoneEXO",Guadalupe,Argentina,334,639
1013596975709728768,en,2018-07-02 01:35:25,Twitter for iPhone,139,"RT @miseleccionmxEN: Please welcome our newest member to the Incondicionales family!!! ???

Thank you for your support @Oprah!! ????

We ?…",Please welcome our newest member to the Incondicionales family Thank you for your support We,0,645,,"Mexican National Team,Oprah Winfrey","miseleccionmxEN,Oprah",Melissa Lopez,"New York, NY",27,100
1013596973717512194,en,2018-07-02 01:35:24,Twitter for Android,159,"Oh oh oh 3-6-5,  venga en tu camino ??
         Te protegerse ?

Please play #PowerByEXO of
@weareoneEXO 

#WorldCup 
#FIFAStadiumDJ

@FIFAWorldCup

#LayLeague",Oh oh oh venga en tu camino Te protegerse Please play of,0,0,"PowerByEXO,WorldCup,FIFAStadiumDJ,LayLeague","EXO,FIFA World Cup ?","weareoneEXO,FIFAWorldCup",?liszloey?,Santo Domingo,425,1172
1013596973528576000,en,2018-07-02 01:35:24,Twitter for iPhone,95,"RT @Footy_WAGs: #DEN fan ? 

Well done Cameraman ???

#WorldCup #CRODEN https://t.co/Bp18OK3lxM",fan Well done Cameraman,0,83,"DEN,WorldCup,CRODEN",World Cup Girls ??  ? ??,Footy_WAGs,Don,,105,237
1013596964947136512,en,2018-07-02 01:35:22,Twitter Web Client,82,"RT @footballtips: GOAL ??

Croatia 1-1 Denmark

Mandzukic ??

#WorldCup #TeamFT ??",GOAL Croatia Denmark Mandzukic,0,4,"WorldCup,TeamFT",Football Tips,footballtips,albert camer,,1,81
1013596964687044608,en,2018-07-02 01:35:22,Twitter for Android,140,"RT @mohanstatsman: Former winners of #WorldCup knocked out in #FIFAWorldCup2018
#GER 1954, 1974, 1990, 2014
#ARG 1978, 1986
#ESP 2010
-
For…",Former winners of knocked out in For,0,388,"WorldCup,FIFAWorldCup2018,GER,ARG,ESP",Mohandas Menon,mohanstatsman,RavichandranRavi,Tirupur,210,2321
1013596958693326849,en,2018-07-02 01:35:21,Twitter for iPhone,140,"RT @qurrex: One more great #video #review of #qurrex
https://t.co/k3ElfvDaqC

Repost it to your #friends, and let them #join the #future of…",One more great of Repost it to your and let them the of,0,372,"video,review,qurrex,friends,join,future",Qurrex,qurrex,ynp,,1303,1164
1013596954025123840,en,2018-07-02 01:35:20,Twitter Lite,128,RT @UtdIndonesia: ?? 4 v 3 ?? | Congrats Paul Pogba! ??? feel sorry for Marcos Rojo and Messi. #worldcup https://t.co/j8LYFgPSvv,Congrats Paul Pogba feel sorry for Marcos Rojo and Messi,0,90,worldcup,United Indonesia,UtdIndonesia,aca,pabuaran cibinong - bogor,286,181
1013596951504355330,en,2018-07-02 01:35:19,Twitter Web Client,140,RT @ferdimutlu16: Follow me + everyone who Likes this. I follow back.  $  #airdrop  #bitcoin #ICO #bounty #followback #followforfollow #Fol…,Follow me everyone who Likes this follow back,0,23,"airdrop,bitcoin,ICO,bounty,followback,followforfollow",Gezbabagez,ferdimutlu16,TR4SHGOD,"North Carolina, USA",2496,3327
1013596951185510400,en,2018-07-02 01:35:19,Twitter for iPhone,140,"RT @FIFAWorldCup: ?? | ""Japan have never made it past the last eight, so we want to get there"" ?
?? Can @jfa_samuraiblue reach the #WorldCu…",Japan have never made it past the last eight so we want to get there Can reach the,0,216,,"FIFA World Cup ?,????????","FIFAWorldCup,jfa_samuraiblue",Angelo,UST,343,402
1013596949705117696,en,2018-07-02 01:35:19,Twitter for iPhone,140,"RT @FIFAWorldCup: Got a favourite tune? Tell us below, and your choice could be played in a #WorldCup stadium! #FIFAStadiumDJ ? ? https://t…",Got favourite tune Tell us below and your choice could be played in stadium,0,12385,"WorldCup,FIFAStadiumDJ",FIFA World Cup ?,FIFAWorldCup,V my Hope,,9,115
1013596949411315712,en,2018-07-02 01:35:19,Twitter for iPhone,64,RT @MisterHeartz: GG GN and GL #WorldCup https://t.co/3j3w9aMLcy,GG GN and GL,0,4369,WorldCup,HRK800 Serial No. 191 919 199,MisterHeartz,iiooiip,,0,16
1013596948262031360,en,2018-07-02 01:35:18,Twitter for Android,64,RT @MisterHeartz: GG GN and GL #WorldCup https://t.co/3j3w9aMLcy,GG GN and GL,0,4369,WorldCup,HRK800 Serial No. 191 919 199,MisterHeartz,ken,in home,75,137
1013596947062521856,en,2018-07-02 01:35:18,Twitter for Android,138,"RT @Footy_JokesOG: ?? Kasper Schmeichel:

Saves penalty in Extra Time

Saves 2 penalties in shootout.

Still knocked out of the #WorldCup…",Kasper Schmeichel Saves penalty in Extra Time Saves penalties in shootout Still knocked out of the,0,762,WorldCup,Footy Jokes,Footy_JokesOG,.,,322,338
1013596945703530497,en,2018-07-02 01:35:18,Twitter for Android,140,"RT @OfficialRate3: What an exciting penalty shootout between Spain and Russia! ?

The Rate3 world cup contest will still be ongoing so if y…",What an exciting penalty shootout between Spain and Russia The Rate world cup contest will still be ongoing so if,0,25,,Rate3 Network ($RTE),OfficialRate3,Ram,,4,110
1013596944021667840,en,2018-07-02 01:35:17,Twitter for iPhone,101,"RT @Footy_JokesOG: Out of #WorldCup

Germany ?
Spain ?
Argentina ?
Portugal ? https://t.co/aPvw0YaUBG",Out of Germany Spain Argentina Portugal,0,1910,WorldCup,Footy Jokes,Footy_JokesOG,? ameer ?????????????,SIN HND LAX,740,580
1013596943891779584,en,2018-07-02 01:35:17,Twitter for Android,140,"RT @Trumperland: #ESPRUS #WorldCup 
#SundayMorning #CanadaDay
Penalty Kick For America
Canada Cheats America In Trade
 https://t.co/UtgSLJQ…",Penalty Kick For America Canada Cheats America In Trade,0,686,"ESPRUS,WorldCup,SundayMorning,CanadaDay",AIIIIIIIIIIIIIIice??Unfiltered,Trumperland,Jimbo,,1158,2220
1013596942406782977,en,2018-07-02 01:35:17,Twitter for iPhone,139,"RT @miseleccionmxEN: Please welcome our newest member to the Incondicionales family!!! ???

Thank you for your support @Oprah!! ????

We ?…",Please welcome our newest member to the Incondicionales family Thank you for your support We,0,645,,"Mexican National Team,Oprah Winfrey","miseleccionmxEN,Oprah",Israel,,180,488
1013596942348247041,en,2018-07-02 01:35:17,Twitter for iPhone,139,"RT @BTSARMYNA: .@BTS_twt After 5 Years
1. Global Puma Ambassador
2. LG Mobile Ambassador
3. CocaCola WorldCup
4. Kookmin Bank
5. UNICEF
6.…",After Years Global Puma Ambassador LG Mobile Ambassador CocaCola WorldCup Kookmin Bank UNICEF,0,5143,,"???? & ???? ???? ™ ??,?????","BTSARMYNA,BTS_twt",???????? : alex,jm’s laugh & niel’s deep voice,1302,2098
1013596939756154880,en,2018-07-02 01:35:16,Twitter for Android,140,"RT @Mariana_SRKajol: #LayLeague
#PowerByEXO
#WorldCup
#FIFAStadiumDJ
@FIFAWorldCup
@weareoneEXO
Desde FIFA, this song deserve everything. J…",Desde FIFA this song deserve everything,0,5,"LayLeague,PowerByEXO,WorldCup,FIFAStadiumDJ","Danelly KxS SxL?,FIFA World Cup ?,EXO","Mariana_SRKajol,FIFAWorldCup,weareoneEXO",?? ?? ??,,474,1709
1013596936732119040,en,2018-07-02 01:35:16,Twitter for iPad,166,Get the best in sports news and information by going to https://t.co/jLpLgt8Fug new shows coming soon! #sportstalk #sportstalkradio #NBA #NHL #MLB #NFL #PGA #WORLDCUP,Get the best in sports news and information by going to new shows coming soon,0,0,"sportstalk,sportstalkradio,NBA,NHL,MLB,NFL,PGA,WORLDCUP",,,Michael Bari,,823,1702
1013596926220984320,en,2018-07-02 01:35:13,Twitter for iPhone,139,"RT @miseleccionmxEN: Please welcome our newest member to the Incondicionales family!!! ???

Thank you for your support @Oprah!! ????

We ?…",Please welcome our newest member to the Incondicionales family Thank you for your support We,0,645,,"Mexican National Team,Oprah Winfrey","miseleccionmxEN,Oprah",s.rod.jr,Valley,324,371
1013596923566014464,en,2018-07-02 01:35:12,Twitter for iPhone,140,RT @UtdIndonesia: It’s not the day David De Gea want to remember as ?? lost to ?? on penalty kick. You still the best @d_degeaofficial #muf…,It not the day David De Gea want to remember as lost to on penalty kick You still the best,0,5,,"United Indonesia,David De Gea","UtdIndonesia,d_degeaofficial",Sidney,Indonesia,662,1256
1013596920978128898,en,2018-07-02 01:35:12,Twitter for Android,129,"RT @WCGoalz: World Cup quarter-finals so far:

?? France vs Uruguay ??
?? Russia vs Croatia ??

#WorldCup https://t.co/OL5sCP9Xrr",World Cup quarter finals so far France vs Uruguay Russia vs Croatia,0,240,WorldCup,World Cup 2018,WCGoalz,urek,?,48,141
1013596917404700672,en,2018-07-02 01:35:11,Twitter for iPhone,139,"RT @miseleccionmxEN: Please welcome our newest member to the Incondicionales family!!! ???

Thank you for your support @Oprah!! ????

We ?…",Please welcome our newest member to the Incondicionales family Thank you for your support We,0,645,,"Mexican National Team,Oprah Winfrey","miseleccionmxEN,Oprah",?,,1026,1018
1013596916641222659,en,2018-07-02 01:35:11,Twitter for iPhone,138,"RT @NewsBFM: South Korea have become the first Asian team to beat Germany in the history of World Cup. 

#WorldCup https://t.co/EEGPaT99Wh",South Korea have become the first Asian team to beat Germany in the history of World Cup,0,7725,WorldCup,BFM News,NewsBFM,fiiiiqqqq,In Your Pants,384,339
1013596914778959872,en,2018-07-02 01:35:10,Twitter for Android,139,"RT @miseleccionmxEN: Please welcome our newest member to the Incondicionales family!!! ???

Thank you for your support @Oprah!! ????

We ?…",Please welcome our newest member to the Incondicionales family Thank you for your support We,0,645,,"Mexican National Team,Oprah Winfrey","miseleccionmxEN,Oprah",Mr. Vertigo Comics ???,"Stockton, California",5602,1457
1013596912983789568,en,2018-07-02 01:35:10,Twitter for iPhone,64,RT @MisterHeartz: GG GN and GL #WorldCup https://t.co/3j3w9aMLcy,GG GN and GL,0,4369,WorldCup,HRK800 Serial No. 191 919 199,MisterHeartz,jj,"?????????????, ?????????",4,120
1013596911796813824,en,2018-07-02 01:35:10,Twitter for iPhone,139,"RT @BTSARMYNA: .@BTS_twt After 5 Years
1. Global Puma Ambassador
2. LG Mobile Ambassador
3. CocaCola WorldCup
4. Kookmin Bank
5. UNICEF
6.…",After Years Global Puma Ambassador LG Mobile Ambassador CocaCola WorldCup Kookmin Bank UNICEF,0,5144,,"???? & ???? ???? ™ ??,?????","BTSARMYNA,BTS_twt",??baby??,"Malibu, California",100,231
1013596909737476096,en,2018-07-02 01:35:09,Twitter Web Client,77,#BRA and #JPN for me tomorrow. They are the two I want to progress. #WorldCup,and for me tomorrow They are the two want to progress,0,0,"BRA,JPN,WorldCup",,,Hannah is recovering with some Pinot Grigio.,"Leicester, England",1036,946
1013596907766071297,en,2018-07-02 01:35:09,Twitter for iPhone,138,"RT @Footy_JokesOG: ?? Kasper Schmeichel:

Saves penalty in Extra Time

Saves 2 penalties in shootout.

Still knocked out of the #WorldCup…",Kasper Schmeichel Saves penalty in Extra Time Saves penalties in shootout Still knocked out of the,0,762,WorldCup,Footy Jokes,Footy_JokesOG,ridho ahmad,SMQ - BDJ,283,259
1013596907015467008,en,2018-07-02 01:35:09,Twitter for Android,140,"RT @RenewTimeless: My postcard to Jennifer Salke at @AmazonStudios. I am from the future after all.
#SaveTimeless
P.S. I'd tell you who won…",My postcard to Jennifer Salke at am from the future after all S would tell you who won,0,279,SaveTimeless,"Save Timeless,Amazon Studios","RenewTimeless,AmazonStudios",GeriS,"Florida, USA",184,145
1013596901478838272,en,2018-07-02 01:35:07,Twitter Web Client,103,RT @apnnewsindia: #Iniesta retires from #Spain after #WorldCup loss to #Russia. https://t.co/3wLrqKKdUQ,retires from after loss to,0,2,"Iniesta,Spain,WorldCup,Russia",APN NEWS,apnnewsindia,satish kumar rai,,297,25
